Q5	human_2106826
Q16521	taxon_478877
Q482994	album_158956
Q115595777	taxonomy_template_117343
Q486972	human_settlement_86657
Q101352	surname_72216
Q4830453	business_60100
Q134556	single_52505
Q4022	river_40856
Q43229	organization_29982
Q3863	asteroid_29813
Q18340514	events_in_a_specific_year_or_time_period_28301
Q16510064	sporting_event_26394
Q34442	road_26049
Q16970	church_24738
Q26895936	american_football_team_season_24019
Q14350	radio_station_23513
Q23038290	fossil_taxon_21612
Q113145171	type_of_chemical_entity_21412
Q41176	building_20074
Q46190676	tennis_event_19509
Q5084	hamlet_16224
Q47461344	written_work_14178
Q3947	house_14113
Q163740	nonprofit_organization_13997
Q23397	lake_13038
Q23442	island_12492
Q7187	gene_12198
Q123705	neighbourhood_12197
Q928830	metro_station_12125
Q1248784	airport_11999
Q15632617	fictional_human_11849
Q11446	ship_11760
Q26894053	basketball_team_season_11392
Q178561	battle_11383
Q498162	census-designated_place_11372
Q1115575	civil_parish_11316
Q3257686	locality_11161
Q3305213	painting_10171
Q47345468	tennis_tournament_edition_10116
Q783794	company_9942
Q3918	university_9857
Q169930	extended_play_9795
Q33506	museum_9632
Q839954	archaeological_site_9619
Q74817647	aspect_in_a_geographic_region_9423
Q41298	magazine_9117
Q11032	newspaper_9075
Q6881511	enterprise_8916
Q4164871	position_8662
Q22808403	underground_station_8488
Q618779	award_8465
Q12308941	male_given_name_8183
Q2334719	legal_case_8120
Q327333	government_department_7962
Q17051044	mahalle_7955
Q7366	song_7766
Q4504495	award_ceremony_7761
Q5633421	scientific_journal_7530
Q3231690	car_model_7455
Q188509	suburb_7372
Q34770	language_7275
Q22808404	station_located_on_surface_6610
Q16917	hospital_6553
Q736917	geological_formation_6337
Q726	horse_6234
Q1002697	periodical_6230
Q35127	website_6216
Q1288568	modern_language_6098
Q17524420	aspect_of_history_6051
Q51031626	sport_competition_at_a_multi-sport_event_5934
Q22698	park_5827
Q56061	administrative_territorial_entity_5721
Q310890	monotypic_taxon_5620
Q18127	record_label_5616
Q47150325	calendar_day_of_a_given_year_5521
Q483110	stadium_5519
Q47521	stream_5487
Q473972	protected_area_5386
Q811979	built_structure_5377
Q1656682	event_5325
Q7397	software_5253
Q23413	castle_4983
Q15221623	bilateral_relation_4969
Q27686	hotel_4835
Q21198342	manga_series_4733
Q11879590	female_given_name_4648
Q94993988	commercial_traffic_aerodrome_4615
Q46970	airline_4359
Q13393265	basketball_team_4354
Q79007	street_4341
Q1114461	comics_character_4319
Q537127	road_bridge_4254
Q12323	dam_4169
Q1190554	occurrence_4166
Q15261477	gubernatorial_election_4159
Q192611	riding_4130
Q26896697	baseball_team_season_3992
Q11707	restaurant_3865
Q860861	sculpture_3825
Q24354	theatre_3809
Q4671277	academic_institution_3804
Q192287	administrative_divisions_of_russia_3769
Q11315	shopping_centre_3697
Q4845841	settlement_3689
Q13027888	baseball_team_3573
Q11670533	elevated_station_3567
Q341	free_software_3515
Q1573906	concert_tour_3496
Q18711811	map_data_module_3493
Q67206785	near-ir_source_3451
Q4498974	ice_hockey_team_3381
Q39614	cemetery_3334
Q2085381	publishing_house_3285
Q737498	academic_journal_3232
Q708676	charitable_organization_3224
Q131681	reservoir_3175
Q11303	skyscraper_3172
Q39594	bay_3152
Q178790	trade_union_3136
Q253019	ortsteil_3052
Q31855	research_institute_3031
Q35666	glacier_2954
Q3001412	horse_race_2949
Q207694	art_museum_2942
Q54050	hill_2915
Q273057	discography_2907
Q2175765	tram_stop_2838
Q85882206	unmanned_station_2820
Q174736	destroyer_2804
Q50393057	paralympic_sporting_event_2796
Q32815	mosque_2768
Q87167	manuscript_2759
Q1057954	by-election_2753
Q27020779	ice_hockey_team_season_2686
Q523	star_2649
Q1307276	single-family_detached_home_2622
Q3024240	historical_country_2605
Q842402	hindu_temple_2595
Q1079023	championship_2579
Q1555508	radio_programme_2579
Q189004	college_2536
Q4989906	monument_2533
Q16695773	wikiproject_2526
Q2514025	posyolok_2518
Q15238777	legislative_term_2514
Q34038	waterfall_2476
Q431289	brand_2475
Q618123	geographical_object_2474
Q12280	bridge_2441
Q39816	valley_2432
Q202444	given_name_2398
Q355567	royal_or_noble_rank_2377
Q18759100	baronetcy_2346
Q41253	movie_theater_2310
Q188055	siege_2306
Q39715	lighthouse_2298
Q695850	airbase_2244
Q28640	profession_2226
Q65943	theorem_2208
Q4671329	academy_2171
Q3146899	diocese_of_the_catholic_church_2169
Q62391930	beauty_pageant_edition_2165
Q62447	aerodrome_2155
Q46195901	paralympics_delegation_2142
Q355304	watercourse_2134
Q17317604	professional_wrestling_event_2124
Q17350442	venue_2073
Q1852859	cadastral_populated_place_in_the_netherlands_2068
Q571	book_2065
Q82794	region_2065
Q186117	timeline_2040
Q15142894	weapon_model_2036
Q19571328	electoral_result_2018
Q16127605	populated_place_in_syria_2005
Q8436	family_1968
Q22988604	mythological_greek_character_1964
Q786820	car_manufacturer_1963
Q18524218	canton_of_france_1958
Q655686	commercial_building_1943
Q40357	prison_1938
Q570116	tourist_attraction_1911
Q2385804	educational_institution_1909
Q744913	aviation_incident_1908
Q44613	monastery_1906
Q16560	palace_1883
Q1366722	final_1876
Q152450	municipal_election_1859
Q24034552	mathematical_concept_1857
Q131436	board_game_1840
Q71798788	uv-emission_source_1838
Q34763	peninsula_1829
Q11862829	discipline_1821
Q751876	ch\u00e2teau_1810
Q1785071	fort_1808
Q179700	statue_1786
Q55818	impact_crater_1784
Q2122052	qualification_event_1778
Q820477	mine_1770
Q179049	nature_reserve_1763
Q1259759	serial_1762
Q10929058	product_model_1755
Q167346	botanical_garden_1736
Q12089225	mineral_species_1730
Q45400320	open-access_publisher_1727
Q4224624	kmetstvo_of_bulgaria_1711
Q71631512	tabletop_role-playing_game_supplement_1705
Q12859788	steamship_1668
Q15280243	mayoral_election_1656
Q29791211	sport_in_a_geographic_region_1654
Q8054	protein_1652
Q131569	treaty_1639
Q1343246	english_country_house_1622
Q641226	arena_1621
Q7075	library_1619
Q1134686	neighbourhood_1616
Q2151232	townland_1608
Q2990963	figure_skating_competition_1591
Q577	year_1591
Q132821	murder_1585
Q107357104	type_of_dance_1577
Q167270	trademark_1562
Q15911738	hydroelectric_power_station_1558
Q14645593	rugby_union_team_1557
Q13417114	noble_family_1556
Q17156793	american_football_team_1545
Q44559	extrasolar_planet_1542
Q132241	festival_1541
Q15642541	human-geographic_territorial_entity_1513
Q23002054	private_not-for-profit_educational_institution_1506
Q277759	book_series_1503
Q2023000	khutor_1476
Q33384	dialect_1463
Q12136	disease_1447
Q428661	u-boat_1445
Q22687	bank_1443
Q2811	submarine_1442
Q3199915	massacre_1432
Q7944	earthquake_1395
Q2922711	bowl_game_1375
Q679165	squadron_1374
Q12737077	occupation_1373
Q773668	open-access_journal_1373
Q811430	fixed_construction_1370
Q1110794	daily_newspaper_1356
Q79913	non-governmental_organization_1351
Q1371849	filmography_1347
Q25295	language_family_1347
Q5741069	rock_band_1340
Q1021645	office_building_1333
Q35509	cave_1325
Q20202352	locality_of_mexico_1320
Q82799	name_1320
Q929833	rare_disease_1319
Q2990946	golf_tournament_1308
Q17299750	snooker_tournament_1303
Q19860854	destroyed_building_or_structure_1303
Q151885	concept_1272
Q852190	shipwreck_1272
Q2977	cathedral_1267
Q2247863	high_proper-motion_star_1264
Q198	war_1245
Q19723451	smartphone_model_1244
Q2618461	legislative_election_1243
Q124056273	artillery_model_1237
Q207326	summit_1230
Q88865478	undifferentiated_japanese_kana_given_name_1228
Q1589009	privately_held_company_1221
Q212198	pub_1220
Q2367225	student_activity_unit_1216
Q34627	synagogue_1203
Q5393308	buddhist_temple_1203
Q1131296	freguesia_of_portugal_1200
Q28920044	positive_integer_1197
Q29154515	chapter_of_the_bible_1179
Q23866334	motorcycle_model_1168
Q1663017	engineering_college_1167
Q40080	beach_1139
Q42998	orchestra_1136
Q2488	spiral_galaxy_1124
Q732717	law_enforcement_agency_1123
Q18691601	ward_of_tanzania_1116
Q358	heritage_site_1116
Q18536800	mixed_martial_arts_event_1102
Q3812392	union_council_of_bangladesh_1100
Q1348589	lunar_crater_1097
Q56242063	protestant_church_building_1093
Q100710213	combat_vehicle_model_1092
Q1445650	holiday_1091
Q90834785	racing_automobile_model_1090
Q43501	zoo_1081
Q7864918	uk_parliamentary_by-election_1079
Q820655	statute_1078
Q10648343	duo_1077
Q29654788	unicode_character_1067
Q161705	frigate_1063
Q417841	protein_family_1051
Q3331189	version,_edition_or_translation_1049
Q191992	headland_1044
Q47018478	calendar_month_of_a_given_year_1038
Q2592651	union_council_of_pakistan_1035
Q14795564	point_in_time_with_respect_to_recurrent_timeframe_1034
Q500834	tournament_1032
Q9143	programming_language_1031
Q3917681	embassy_1029
Q57733494	badminton_event_1027
Q108325	chapel_1024
Q1261499	naval_battle_1024
Q38723	higher_education_institution_1024
Q746549	dish_1011
Q1497364	building_complex_1008
Q422211	site_of_special_scientific_interest_1002
Q1088552	catholic_church_building_1001
Q902104	private_university_1000
Q46622	motorway_996
Q56219051	surname_prefixed_with_mac_or_mc_987
Q2992826	athletic_conference_983
Q742421	theatre_company_979
Q777120	borough_of_pennsylvania_976
Q271669	landform_967
Q44539	temple_967
Q29964144	year_bc_964
Q50707	composite_number_962
Q66480858	affixed_family_name_957
Q740445	ridge_957
Q160742	abbey_955
Q12284	canal_948
Q879050	manor_house_948
Q640506	cabinet_947
Q95074	character_943
Q4421	forest_939
Q56242215	catholic_cathedral_939
Q131734	brewery_936
Q124734	rebellion_933
Q194408	nunatak_929
Q58863414	female_beauty_pageant_926
Q42314054	ammunition_model_925
Q1077097	tambon_924
Q67206691	infrared_source_921
Q180684	conflict_920
Q2983893	quarter_917
Q3700011	kecamatan_910
Q131596	farm_906
Q44782	port_903
Q273120	protest_901
Q73364223	society_journal_899
Q185113	cape_897
Q180958	faculty_893
Q52371	regiment_893
Q33742	natural_language_891
Q18142	tower_block_889
Q2006279	provincial_park_of_canada_888
Q976981	formula_885
Q15079663	rapid_transit_line_881
Q170584	project_879
Q17376093	cricket_team_877
Q475061	amphoe_876
Q80447738	anime_character_874
Q3297186	limited_series_873
Q11448906	science_award_871
Q19844914	university_building_870
Q24634210	podcast_870
Q1969448	term_869
Q1147171	interchange_station_866
Q194195	amusement_park_866
Q2135465	legal_term_or_legal_concept_865
Q193622	order_855
Q526877	web_series_853
Q6558431	coal-fired_power_station_853
Q332496	overtaking_station_852
Q6617741	wwf_ecoregion_847
Q11483816	annual_event_845
Q121844689	contracted_station_845
Q120560	minor_basilica_842
Q1047113	specialty_841
Q543654	rathaus_834
Q3409032	unisex_given_name_833
Q955824	learned_society_829
Q18761864	bank_building_828
Q3677932	barrio_of_puerto_rico_827
Q27889498	boxing_match_823
Q6508670	leadership_election_820
Q1195098	ward_818
Q1667921	novel_series_818
Q83405	factory_806
Q15057021	engine_model_804
Q18534542	restaurant_chain_799
Q4663903	wikipedia:portal_799
Q1137809	courthouse_797
Q133311	tribe_792
Q148837	polis_792
Q124078422	weapon_type_790
Q130003	ski_resort_789
Q561068	specialty_channel_786
Q18487055	missile_model_783
Q740752	transport_company_781
Q178885	deity_774
Q1664720	institute_773
Q1004	comics_771
Q1639634	local_government_area_of_nigeria_767
Q1825472	covered_bridge_766
Q26401003	individual_animal_760
Q83620	thoroughfare_759
Q575759	war_memorial_758
Q47487597	monotypic_fossil_taxon_756
Q1643932	tabletop_role-playing_game_755
Q11410	game_754
Q1620908	historical_region_754
Q98433835	suburb/locality_of_tasmania_751
Q1631107	bibliography_750
Q188913	plantation_748
Q4886	cultivar_745
Q15265344	broadcaster_743
Q20074337	auto_racing_team_742
Q1007870	art_gallery_741
Q13402009	block_of_flats_741
Q113813711	coin_type_739
Q5003624	memorial_737
Q20741022	digital_camera_model_736
Q3055118	single_entity_of_population_736
Q55788864	developmental_defect_during_embryogenesis_736
Q658255	subsidiary_732
Q2338524	motorsport_racing_track_730
Q164950	dynasty_729
Q18972245	masculine_family_name_727
Q192350	ministry_726
Q838948	work_of_art_724
Q1802963	mansion_722
Q87576284	manga_character_721
Q166118	archives_715
Q157031	foundation_713
Q10517054	handball_team_711
Q43009164	rugby_union_club_710
Q166142	application_708
Q184188	canton_of_france_706
Q11167066	order_of_battle_700
Q2223653	terrorist_attack_700
Q2755753	area_of_london_700
Q124757	riot_698
Q61220733	star_trek_episode_698
Q104841013	hromada_693
Q204577	schooner_690
Q265392	near-earth_object_689
Q38058796	extinct_language_689
Q7373622	royal_air_force_station_683
Q49773	social_movement_680
Q899409	gens_679
Q9135	operating_system_678
Q8072	volcano_677
Q13890	double_star_676
Q155239	indian_reserve_676
Q613142	law_firm_674
Q958314	grape_variety_673
Q8776398	collective_population_entity_of_spain_670
Q26214208	set_of_mythological_greek_characters_666
Q55102916	parish_of_asturias_666
Q16323605	food_brand_662
Q131186	choir_661
Q15720476	volleyball_team_660
Q465299	archaeological_culture_660
Q858439	presidential_election_658
Q112965645	symptom_or_sign_657
Q877358	united_nations_security_council_resolution_2245
Q47154513	structural_class_of_chemical_entities_1548
